time_s,base_x_m,base_y_m,base_z_m,roll_deg,pitch_deg,drift_m,wheel_rms_rad_s,torque_pair_rms_nm,normalized_torque_balance,all_four_contact,contact_count,FL_contact,FR_contact,RL_contact,RR_contact,FL_vertical_force_n,FR_vertical_force_n,RL_vertical_force_n,RR_vertical_force_n,total_vertical_force_n,FL_load_fraction,FR_load_fraction,RL_load_fraction,RR_load_fraction,foot_load_fraction_error_rms
24.27999999999957,-0.1009431926535761,-0.07110263228583029,0.37763421348082543,5.156647282420581,-17.101816935866477,0.12347109969977174,0.001229433716082803,46.85695266723633,0.25589038543336323,1,4,1,1,1,1,179.83417045656614,59.6033555518194,197.66189622969802,292.17178254611713,729.2712047842007,0.24659436609701468,0.08173002740380608,0.27104031385441624,0.400635292644763,0.11342405853375062
24.29999999999957,-0.10094257398684055,-0.07110240594771618,0.3776328162096421,5.156371266286523,-17.101863705659092,0.12347046357183002,0.001223251341133721,46.85707092285156,0.25589182983565084,1,4,1,1,1,1,179.83552546360977,59.60161345360349,197.66241888674244,292.17240057046945,729.2719583744251,0.24659596930680014,0.08172755413009127,0.27104075045932036,0.4006357261037882,0.11342512797293697
24.31999999999957,-0.1009419584432612,-0.07110218059362397,0.37763142644908443,5.1560967509742,-17.101910210569898,0.1234698305641074,0.0012170714286351705,46.85718536376953,0.25589322747356497,1,4,1,1,1,1,179.83681962862656,59.59994898699838,197.6629448654187,292.17298853025386,729.2727020112975,0.2465974924505547,0.08172518842762756,0.2710411953172993,0.4006361238045184,0.11342614663578723
24.33999999999957,-0.10094134604248134,-0.0711019560206451,0.3776300439695965,5.155823718260755,-17.101956437610223,0.12346920057581046,0.00121088612684736,46.85729217529297,0.2558945617485569,1,4,1,1,1,1,179.83805680114543,59.59827492121134,197.66346206026404,292.17358790658136,729.2733816892022,0.24659895906880616,0.08172281673460367,0.2710416519007178,0.40063657229587235,0.11342718536015957
24.35999999999957,-0.10094073660926688,-0.07110173247977478,0.37762866869673656,5.155552168477664,-17.10200238240339,0.12346857360821355,0.0012048846923119827,46.8574104309082,0.2558960455151064,1,4,1,1,1,1,179.83940090731764,59.59652385573537,197.66398744520092,292.17418108901717,729.2740932972711,0.24660056151756157,0.08172033588397645,0.27104210784658705,0.400636994751875,0.11342825488772781
24.37999999999957,-0.10094013009950825,-0.07110150987772768,0.3776273009057027,5.155282091019781,-17.10204806382098,0.12346794957153155,0.001198650914692678,46.85750961303711,0.25589732763554407,1,4,1,1,1,1,179.8406980181918,59.59493352264799,197.6644999060262,292.17477768700525,729.2749091338712,0.2466020642774903,0.08171806375928435,0.2710425073320895,0.40063736463113586,0.11342922768177235
24.39999999999957,-0.10093952650375339,-0.07110128832754424,0.37762594076695033,5.155013471686088,-17.102093530411498,0.12346732852313,0.0011926649011822792,46.85763168334961,0.25589881425031624,1,4,1,1,1,1,179.84199470772285,59.59322674781872,197.6650204489626,292.1753614095571,729.2756033140613,0.24660360759425295,0.08171564560367583,0.27104296311395804,0.4006377836881132,0.11343027328169895
24.41999999999957,-0.10093892580247527,-0.07110106783261627,0.3776245880124995,5.154746325026213,-17.10213874725586,0.12346671044899474,0.0011865198380365456,46.85773468017578,0.25590009319237955,1,4,1,1,1,1,179.84326008751162,59.59155893219693,197.66555399747534,292.1759348074455,729.2763078246294,0.24660510448223544,0.08171327971692047,0.2710434328890997,0.40063818291174447,0.1134312939160995
24.439999999999568,-0.10093832803737567,-0.07110084813841579,0.3776232423537176,5.154480617299772,-17.102183704479366,0.12346609523663944,0.0011804408257248505,46.85783767700195,0.25590134101575773,1,4,1,1,1,1,179.84441914516412,59.58996363503009,197.6660759815694,292.176495703975,729.2769544657385,0.246606475144846,0.08171101975748725,0.27104390831378694,0.4006385967838799,0.113432281340171
24.459999999999567,-0.10093773325261265,-0.07110062926455056,0.3776219035138977,5.154216346881942,-17.102228350801468,0.1234654829334525,0.0011746313805658288,46.85795593261719,0.255902799106597,1,4,1,1,1,1,179.8457134346989,59.58828902891203,197.6666090495785,292.1770964765376,729.277707989727,0.24660799509482922,0.0817086390768322,0.27104435921187237,0.4006390066164663,0.11343330995312038
24.479999999999567,-0.10093714129672642,-0.07110041137908724,0.3776205719618193,5.153953514063114,-17.102272749355542,0.12346487351239117,0.0011685584657825957,46.858062744140625,0.2559041039939824,1,4,1,1,1,1,179.84700567326934,59.5866924812651,197.66712888309303,292.17767096837747,729.278498006005,0.24660949988928435,0.0817063613478077,0.27104477839886265,0.40063936036404524,0.11343428041220757
24.499999999999567,-0.10093655224436046,-0.07110019459501939,0.3776192474875216,5.153692104348604,-17.10231690705021,0.12346426709954639,0.0011627845876812032,46.8581657409668,0.2559053965369302,1,4,1,1,1,1,179.84824304962387,59.58501419274533,197.66763084125884,292.1782069135454,729.2790949971734,0.246610994725306,0.08170399316461453,0.27104524481402414,0.4006397672960554,0.11343530435206223
24.519999999999566,-0.1009359660944692,-0.0710999787468304,0.3776179301594554,5.15343210793877,-17.102360802259412,0.12346366359874297,0.0011568066688452327,46.85826110839844,0.25590665986873706,1,4,1,1,1,1,179.84945051423713,59.583476006068835,197.66819025231285,292.1787854980429,729.2799022706618,0.2466123774345952,0.08170179353709282,0.2710457118547484,0.4006401171735635,0.11343624770638243
24.539999999999566,-0.10093538269331703,-0.07109976376221327,0.37761661970984484,5.1531735054539585,-17.102404454606422,0.12346306284265307,0.0011509034030482183,46.858367919921875,0.25590791421709974,1,4,1,1,1,1,179.8506237141131,59.5818638290294,197.66866707254513,292.1793143387463,729.2804689544339,0.24661379451442617,0.08169951941048366,0.2710461550628688,0.40064053101222147,0.1134372385736129
24.559999999999565,-0.10093480222250868,-0.07109954970361819,0.37761531624023914,5.152916298976523,-17.10244783860376,0.12346246501570515,0.0011450908449255072,46.85846710205078,0.25590917654864925,1,4,1,1,1,1,179.85190275006647,59.580278428013244,197.6692028670517,292.17987917123617,729.2812632163675,0.2466152797575809,0.08169725650875061,0.27104659455429614,0.4006408691793724,0.11343819948241692
24.579999999999565,-0.10093422465074964,-0.07109933662935906,0.37761401955132373,5.152660499180343,-17.102490971331974,0.12346187012589319,0.0011393274061039923,46.85857009887695,0.2559104899105903,1,4,1,1,1,1,179.8530819526894,59.57867234437455,197.6697307038575,292.1803907349305,729.2818757358519,0.2466166895635738,0.08169498561068604,0.27104709068000216,0.40064123414573805,0.11343917545224369
24.599999999999564,-0.10093364977479717,-0.0710991244270888,0.37761272993179557,5.15240606562726,-17.102533864021954,0.12346127794235758,0.00113334188939411,46.85866928100586,0.25591165339493765,1,4,1,1,1,1,179.8543293282389,59.577131582910255,197.67024940519377,292.18095987844856,729.2826701947915,0.24661813132101407,0.08169278390640654,0.2710475066580096,0.40064157811456974,0.11344011483851782
24.619999999999564,-0.1009330777595398,-0.07109891301152606,0.3776114471265443,5.1521530091613625,-17.102576510837437,0.1234606885507847,0.0011277519864439651,46.85877990722656,0.25591302409211286,1,4,1,1,1,1,179.85547002563288,59.57552910386596,197.67077142386034,292.1815332784811,729.2833038318403,0.2466194811819034,0.08169051559365333,0.2710479869554777,0.4006420162689655,0.11344111387529103
24.639999999999564,-0.10093250854095466,-0.07109870253753789,0.3776101711181248,5.15190131112431,-17.10261891274714,0.12346010198801548,0.0011220169258831483,46.85887145996094,0.2559141976073798,1,4,1,1,1,1,179.85669631679266,59.57400947118091,197.6712608185185,292.18200255056894,729.2839691570609,0.24662093769136195,0.08168835733498875,0.27104841074046343,0.400642294233186,0.11344201550265352
24.659999999999563,-0.10093194196158031,-0.07109849302041407,0.3776089020554422,5.151650974211656,-17.102661094279245,0.12345951813412234,0.0011161774647328693,46.85896301269531,0.25591532393248284,1,4,1,1,1,1,179.8578577998813,59.57247332843184,197.67176606923786,292.18252407681285,729.2846212743639,0.24662230979942334,0.08168617792095208,0.27104886117552157,0.400642651104103,0.11344295304514
24.679999999999563,-0.10093137809359463,-0.07109828450867398,0.3776076395378564,5.151401994101161,-17.102703007806024,0.12345893707605174,0.001110482949590342,46.859066009521484,0.25591656866276963,1,4,1,1,1,1,179.85906360938563,59.570877398934044,197.67227424476476,292.18305745368224,729.2852727067666,0.2466237429172712,0.08168391660760507,0.2710493158748394,0.40064302460028445,0.11344392623667099
24.699999999999562,-0.10093081712218764,-0.07109807694643464,0.37760638403371244,5.151154368073517,-17.102744699994318,0.12345835893301688,0.0011049219970634733,46.85916519165039,0.25591782562362486,1,4,1,1,1,1,179.8602727777286,59.56940925182132,197.67279874268976,292.18357642215904,729.2860571943987,0.2466251356424671,0.08168181561154196,0.2710497435027721,0.40064330524321884,0.11344480819036278
24.719999999999562,-0.10093025880259072,-0.07109787040275736,0.3776051349784515,5.150908058263117,-17.102786156039258,0.12345778354468066,0.001099255982184765,46.85926055908203,0.255918992457666,1,4,1,1,1,1,179.86137057635142,59.56780024061209,197.67330837633781,292.18407256109833,729.2865517543996,0.24662647370045426,0.08167955393845329,0.2710502585037491,0.4006437138573434,0.11344579669368494
24.73999999999956,-0.10092970310257615,-0.07109766529700536,0.3776038922666562,5.1506630204344965,-17.102827346471983,0.1234572111262002,0.0010936233129129518,46.859352111816406,0.25592014816720404,1,4,1,1,1,1,179.8625380137179,59.566360253488405,197.67383475656948,292.18451922734766,729.2872522511234,0.24662783760243748,0.08167750097046435,0.2710507199274372,0.4006439414996611,0.11344664503501226
24.75999999999956,-0.10092914991884394,-0.07109746171579567,0.3776026559031731,5.150419270046755,-17.102868304196775,0.12345664164300561,0.001087963754395056,46.85944366455078,0.25592126945513377,1,4,1,1,1,1,179.86365038609028,59.5648537776591,197.67437295542715,292.184950481358,729.2878276005345,0.24662916831872606,0.08167537085273498,0.27105124406889564,0.4006442167596434,0.11344754096471464
24.77999999999956,-0.10092859929856017,-0.07109725969920938,0.37760142597940377,5.15017680824444,-17.102909011027293,0.123456075156738,0.001082536447294441,46.85954284667969,0.2559225139575182,1,4,1,1,1,1,179.86486995665868,59.56334814653452,197.67490968690043,292.18542413620185,729.2885519262954,0.24663059564225337,0.08167322521271966,0.27105171082800456,0.40064446831702244,0.11344843141193943
24.79999999999956,-0.10092805131567581,-0.07109705916173405,0.3776002025781992,5.149935636036074,-17.102949498344643,0.12345551167860754,0.0010769592625452615,46.85963439941406,0.2559236705073459,1,4,1,1,1,1,179.8659796934329,59.56189217066562,197.6754345527585,292.1858518901595,729.2891583070166,0.24663191224585956,0.08167116087250433,0.27105220515226824,0.40064472172936777,0.11344929442687353
24.81999999999956,-0.10092750570765953,-0.0710968601147666,0.3775989855202249,5.14969574164883,-17.102989761725475,0.12345495100055055,0.0010714566130536078,46.8597297668457,0.25592485208154075,1,4,1,1,1,1,179.86712244210864,59.56038614153674,197.67596314578637,292.1862567009201,729.2897284303518,0.24663328637472534,0.08166903196309701,0.27105271806205716,0.4006449636001206,0.11345017800422086
24.83999999999956,-0.10092696243302963,-0.07109666245413492,0.37759777459780386,5.14945711373502,-17.10302977613626,0.1234543930286621,0.0010659217835271803,46.85981750488281,0.2559259080553899,1,4,1,1,1,1,179.8682004430469,59.55894481561158,197.67651551180168,292.18666793297933,729.2903287034394,0.2466345615234245,0.08166698840158457,0.2710532523627986,0.4006451977121925,0.11345102908163628
24.85999999999956,-0.10092642160084865,-0.07109646609146751,0.3775965700728306,5.149219741940248,-17.103069555585908,0.12345383780120989,0.0010604439421539815,46.85991287231445,0.2559270992849751,1,4,1,1,1,1,179.86934465333337,59.557517012010486,197.6770502501409,292.1871336641231,729.291045579608,0.2466358880224304,0.08166495032813248,0.2710537191541081,0.4006454424953289,0.11345187816014907
24.87999999999956,-0.10092588321002613,-0.07109627101775885,0.37759537157136414,5.148983611785636,-17.103109094022173,0.12345328531211493,0.001055014180258932,46.8599967956543,0.25592815811166564,1,4,1,1,1,1,179.870402136434,59.556082425163225,197.67755912957404,292.1875227093866,729.2915664005578,0.24663716190246132,0.08166292491095736,0.27105422335434104,0.40064568983224036,0.11345272552443406
24.899999999999558,-0.10092534727559621,-0.07109607725375026,0.3775941792399755,5.148748723460861,-17.103148397172227,0.12345273558561155,0.0010495526342555494,46.860084533691406,0.25592923878135126,1,4,1,1,1,1,179.8715273007253,59.55465933880685,197.67809956795406,292.18795440188933,729.2922406093755,0.24663847671055686,0.08166089809079101,0.2710547138178516,0.4006459113808005,0.11345356391507513
24.919999999999558,-0.10092481381605724,-0.07109588484387587,0.37759299301387284,5.148515080829701,-17.103187467672758,0.12345218866241083,0.0010442532583258748,46.86017608642578,0.2559303528736265,1,4,1,1,1,1,179.8726198543422,59.55322215317542,197.67863282771518,292.18834513820195,729.2928199734347,0.2466397788763288,0.08165886256132991,0.27105522968800905,0.4006461288743323,0.11345440546997496
24.939999999999557,-0.10092428266376822,-0.07109569369680403,0.37759181303278205,5.1482826566136435,-17.103226328844972,0.12345164435286379,0.0010387534169736638,46.86025619506836,0.25593143865956103,1,4,1,1,1,1,179.87369954185107,59.551853421125905,197.6791465214476,292.1887517602387,729.2934512446633,0.24664104584357094,0.08165691508608852,0.2710556994363168,0.40064633963402374,0.11345521025413459
24.959999999999557,-0.1009237538807333,-0.07109550371010576,0.37759063908800256,5.14805146301375,-17.10326496902832,0.12345110264867014,0.0010334910220693324,46.860355377197266,0.2559325595035097,1,4,1,1,1,1,179.874693251981,59.55043367433592,197.6796879580036,292.1891658872371,729.2939807715576,0.2466422293266185,0.08165490905510348,0.27105624503971376,0.4006466165785643,0.11345606287334531
24.979999999999556,-0.10092322764865164,-0.07109531507092617,0.3775894711858572,5.147821494289854,-17.103303358855918,0.12345056380614802,0.0010281204400826387,46.86043167114258,0.25593355626760017,1,4,1,1,1,1,179.87589548366694,59.5490092006586,197.68021778209174,292.1895792153379,729.2947016817552,0.24664363400539277,0.0816528751180263,0.27105670358805667,0.4006467872885242,0.11345688491125797
24.999999999999556,-0.10092270383395835,-0.07109512774008542,0.37758830949327854,5.1475927578834435,-17.103341550711676,0.12345002769354058,0.001022767259967087,46.860511779785156,0.25593460719669553,1,4,1,1,1,1,179.8769247335072,59.54764249459982,197.68073715273385,292.18997312158444,729.2952775024253,0.24664485055973642,0.08165093663917465,0.27105720172728864,0.4006470110738003,0.11345769239267904
